field_name,present_record_count,null_record_count,fill_rate_percent,inferred_types,sample_values
_id,102011,0,100.0,string,MPrEfpMBRlc-D5DFQSbD | YaHkgJMBrrvr6pEbXnOF | YqHkgJMBrrvr6pEbYnNx
_index,102011,0,100.0,string,wazuh-alerts-4.x-2024.11.30 | wazuh-alerts-4.x-2024.12.01 | wazuh-alerts-4.x-2024.12.02
_score,102011,0,100.0,integer,1
_source.@timestamp,102011,0,100.0,string,"Nov 30, 2024 @ 20:30:08.057 | Dec 1, 2024 @ 06:24:28.026 | Dec 1, 2024 @ 06:24:29.426"
_source.agent.id,102011,0,100.0,integer,0 | 2 | 3
_source.agent.ip,100530,1481,98.55,string,192.168.117.130 | 192.168.117.134 | 192.168.117.129
_source.agent.name,102011,0,100.0,string,Maryam | wazuh-agent | window-agent3
_source.data.arch,18,101993,0.02,string,amd64
_source.data.command,75,101936,0.07,string,/usr/bin/su | /usr/bin/systemctl start wazuh-manager | /usr/bin/systemctl start wazuh-dashboard
_source.data.dpkg_status,18,101993,0.02,string,status installed | status half-configured | install
_source.data.dstuser,261,101750,0.26,string,root(uid=0) | root | mari
_source.data.euid,3,102008,0.0,integer,0
_source.data.extra_data,110,101901,0.11,string,window-agent3->any | wazuh-agent->any | agent1->any
_source.data.file,257,101754,0.25,string,/root/.npm/_cacache/index-v5/82/d7/dcbd0725f9366f2f85f22b083393726197ae5e3c24aab76e6921106117ff | /bin/diff | /usr/bin/diff
_source.data.gid,2,102009,0.0,integer,119
_source.data.home,1,102010,0.0,string,/nonexistent
_source.data.level,5,102006,0.0,string,90% | normal | full
_source.data.operation_type,4,102007,0.0,string,MODIFIED
_source.data.origin.module,1,102010,0.0,string,wazuh-execd
_source.data.package,18,101993,0.02,string,golang-go | man-db | filebeat
_source.data.parameters.extra_args,1,102010,0.0,json_array,[]
_source.data.parameters.program,1,102010,0.0,string,restart-wazuh.exe
_source.data.process.args,1,102010,0.0,string,/var/ossec/api/scripts/wazuh-apid.py
